S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
1,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86
2,RAM KRIPAL YADAV,Bharatiya Janata Party,526608,1501,528109,42.93
3,DR S P SHARMA,Hindustan Vikas Dal,15139,1,15140,1.23
4,HARIKESHWAR RAM,Bahujan Samaj Party,10931,34,10965,0.89
5,VINDU DEVI,Rashtriya Jansambhavna Party,10741,3,10744,0.87
6,SHIV KUMAR SINGH,Apna Kisan Party,9011,5,9016,0.73
7,SANJAY KUMAR SINGH,Bhartiya Sarthak Party,4753,0,4753,0.39
8,MD FAROOQUE RAZA,All India Majlis-E-Ittehadul Muslimeen,4010,13,4023,0.33
9,RAM NIRANJAN ROY,Rashtrawadi Chetna Party,3914,1,3915,0.32
10,MRITUNJAY KUMAR,Bhagidari Party(P),3483,0,3483,0.28
11,DURGESH NANDAN SINGH,Independent,3104,2,3106,0.25
12,NAGESHWAR PRASAD,Peoples Party of India (Democratic),2048,3,2051,0.17
13,SUBHASH KUMAR,Bhartiya Lok Chetna Party,1979,0,1979,0.16
14,NITESH KUMAR PATEL,Adarsh Jankalyan Dal,1816,1,1817,0.15
15,RANJAN KUMAR,Independent,1807,2,1809,0.15
16,NIRAJ KUMAR,Independent,1767,4,1771,0.14
17,KUNAL KUMAR,Hamara Sahara Party,1607,7,1614,0.13
18,KHUSHBOO KUMARI,Akhil Bhartiya Parivar Party,1479,4,1483,0.12
19,ANIL DAS,Bhartiya Dalit Party,1465,4,1469,0.12
20,ANIL KUMAR CHAND,Socialist Unity Centre Of India (COMMUNIST),1421,3,1424,0.12
21,MADHURI KUMARI,All India Forward Bloc,1301,1,1302,0.11
22,JAWAHAR SINGH,Bhartiya Manavta Party,1235,2,1237,0.1
23,NOTA,None of the Above,5573,33,5606,0.46
1,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),526564,2818,529382,48.28
2,R. K. SINGH,Bharatiya Janata Party,464736,4838,469574,42.82
3,VIRENDRA KUMAR SINGH,Independent,23630,5,23635,2.16
4,SHIV DAS SINGH,Independent,13373,6,13379,1.22
5,LAL BADSAH SINGH,Bahujan Samaj Party,10631,195,10826,0.99
6,KRISHNA PASWAN,Bhartiya Kranti Vir Party,8709,40,8749,0.8
7,RANDHIR LAL,Independent,5765,1,5766,0.53
8,NAVNIT KUMAR,Independent,4764,9,4773,0.44
9,RAM SARE SINGH,Peoples Party of India (Democratic),2531,10,2541,0.23
10,DHARMATMA SHARMA,Socialist Unity Centre Of India (COMMUNIST),2449,18,2467,0.22
11,RAMJEE SINGH,Voters Party International,2435,5,2440,0.22
12,ASHOK TIWARY,Independent,2263,32,2295,0.21
13,MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),2055,42,2097,0.19
14,SUMITRA DEVI,Jagrook Janta Party,1640,34,1674,0.15
15,NOTA,None of the Above,16864,99,16963,1.55
1,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82
2,MITHILESH TIWARI,Bharatiya Janata Party,405795,2459,408254,38.02
3,ANIL KUMAR,Bahujan Samaj Party,114312,402,114714,10.68
4,ANAND MISHRA S/O- PARAM HANS MISHRA,Independent,46527,882,47409,4.42
5,DADAN YADAV,Independent,15653,183,15836,1.47
6,SUDHAKAR MISHRA,Independent,12742,7,12749,1.19
7,SUNIL KUMAR DUBY,Independent,7757,2,7759,0.72
8,RAM SWAROOP CHAUHAN,Independent,5506,10,5516,0.51
9,RAJU SINGH,Bahujan Mukti Party,4322,17,4339,0.4
10,AANAND MISRA S/O MADAN KUMAR MISRA,Independent,2697,137,2834,0.26
11,BHAGWAN SINGH YADAV,Independent,2045,8,2053,0.19
12,NIRANJAN KUMAR RAY,Independent,1667,2,1669,0.16
13,HEM LATA,Jagrook Janta Party,1554,16,1570,0.15
14,AKHILESH KUMAR PANDEY,Independent,1089,6,1095,0.1
