S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
9,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06
10,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05
11,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05
12,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03
13,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03
14,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03
15,NOTA,None of the Above,16660,186,16846,1.27
1,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7
2,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375,5925,520300,37.82
3,KOPPULA RAJU,Indian National Congress,53264,1580,54844,3.99
4,BHASKAR NASINA,Bahujan Samaj Party,5710,101,5811,0.42
5,VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794,10,2804,0.2
6,KOPPALA RAGHU,Independent,2010,5,2015,0.15
7,GAJULA SOMA SEKHAR,Jai Bharat National Party,1775,4,1779,0.13
8,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315,15,1330,0.1
9,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228,5,1233,0.09
10,MALLEPALLY RAGHU,Navarang Congress Party,1104,1,1105,0.08
11,SHAIK SHAFI AHMED,All India Forward Bloc,1037,0,1037,0.08
12,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576,24,600,0.04
13,TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553,5,558,0.04
14,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452,2,454,0.03
15,NOTA,None of the Above,15454,123,15577,1.13
1,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73
2,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,608494,9165,617659,44.67
3,CHINTA MOHAN,Indian National Congress,63790,1733,65523,4.74
4,PENUMURU. GURAPPA,Bahujan Samaj Party,10300,206,10506,0.76
5,KATTAMANCHI. PRABHAKAR,Independent,5796,6,5802,0.42
6,M UMADEVI,Janata Congress,5387,38,5425,0.39
7,ALLAM.RAJA,Independent,4948,22,4970,0.36
8,VIJAY KUMAR G.SRKR,Liberation Congress Party,4108,194,4302,0.31
9,ANJAIAH.P,Republican Party of India (A),3657,9,3666,0.27
10,V.C. NAVEEN GUPTA,Independent,1723,8,1731,0.13
11,A. VARAPRASAD,Jatiya Jana Sena Party,1668,30,1698,0.12
12,SYAMDHAN KURAPATI,Aihra National Party,1567,1,1568,0.11
13,C. PUNYAMURTHY,United Republican Party of India,1511,4,1515,0.11
14,KARRA SIVA,Pyramid Party of India,1501,9,1510,0.11
15,VELURU. THEJOVATHI,Samajwadi Party,1362,27,1389,0.1
16,C. DAVID,Indian Believers Party (IBP),1237,2,1239,0.09
17,K. JEEVARATHNAM,Independent,1203,1,1204,0.09
18,DASARI. GOWTHAM,Independent,1077,10,1087,0.08
19,VIJAYA KUMAR.G,Independent,797,4,801,0.06
20,A. MADHU,Jai Hindustan Party,711,0,711,0.05
21,B. BHARANI BAS,Ambedkar National Congress,688,0,688,0.05
22,Y. MAHESH,Independent,615,7,622,0.04
23,PRASAD PATIBANDLA,Independent,607,1,608,0.04
24,NOTA,None of the Above,15909,209,16118,1.17
1,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38
2,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,557030,11743,568773,42.67
3,SHAIK BASHEED,Indian National Congress,52229,1071,53300,4.0
4,ABBAVARAM UGENDRA,Bahujan Samaj Party,12306,57,12363,0.93
5,POOLA REDDY SEKHAR,Independent,6097,3,6100,0.46
6,NAGARAJU JETTI,Independent,5984,15,5999,0.45
7,PRADEEP PENAMADU,All India Forward Bloc,5671,1,5672,0.43
8,CHOUDVARAM SUBBANARASAIAH,Independent,4731,4,4735,0.36
9,PULI SREENIVASULU,Independent,4613,3,4616,0.35
10,SREENIVASULU MARRIPATI,Independent,4436,7,4443,0.33
11,AKBAR M BASHA,Anna YSR Congress Party,2394,17,2411,0.18
12,SANGARAJU NAGESWARA RAJU,Independent,1523,12,1535,0.12
13,MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415,0,1415,0.11
14,BATTHALA RAMANAIAH,Jai Bharat National Party,1360,6,1366,0.1
15,DODDAPANENI RAJA NAIDU,Independent,1315,3,1318,0.1
16,MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party,1069,2,1071,0.08
17,KASTURI OBAIAH NAIDU,Independent,885,2,887,0.07
18,ASADI VENKATADRI,Independent,689,2,691,0.05
19,NOTA,None of the Above,11324,76,11400,0.86
1,DAGGUMALLA PRASADA RAO,Telugu Desam,765536,12535,778071,54.84
2,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,552469,5123,557592,39.3
3,MOTUKUR JAGAPATHI,Indian National Congress,29431,719,30150,2.12
4,THOGURU VIJAYA KUMAR,Bahujan Samaj Party,13389,122,13511,0.95
5,YUGANDAR . KONDA,Independent,6889,84,6973,0.49
6,K.MUNI KRISHNA,Independent,3954,2,3956,0.28
7,P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,2822,11,2833,0.2
8,PETA.MOHAN .,Independent,2365,1,2366,0.17
9,C.SUDHAKAR,Independent,1934,1,1935,0.14
10,N.CHANDRABABU,Independent,1878,7,1885,0.13
11,MADASI SUDHARSHAN,Independent,1575,3,1578,0.11
12,D.MAHESH,Independent,1109,10,1119,0.08
13,P.MADHU,Independent,902,4,906,0.06
14,N.BHUPATHI,Independent,862,32,894,0.06
15,A. PURNA CHANDRA,Independent,856,1,857,0.06
16,PALLIPATTU.ABHINAV VISHNU,Samajwadi Party,670,6,676,0.05
17,N.GANGAIAH .,Independent,547,5,552,0.04
18,T NARESH,Independent,532,2,534,0.04
19,BANDAPALLI RAMESH,Independent,490,3,493,0.03
20,NOTA,None of the Above,11812,164,11976,0.84
