S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
12,VIJENDER MAHARIA,Bharatiya Yuva Jan Ekta Party,1421,30,1451,0.11
13,OM PRAKASH,Independent,1182,42,1224,0.09
14,BIRBALSINGH,Independent,1034,47,1081,0.08
15,NOTA,None of the Above,7081,185,7266,0.56
1,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96
2,ANIL CHOPRA,Indian National Congress,602293,13969,616262,48.83
3,HANUMAN SAHAY,Bahujan Samaj Party,3773,77,3850,0.31
4,RAMSINGH KASANA,Independent,3701,6,3707,0.29
5,DR DASHRATH HINUNIA,Ambedkarite Party of India,2669,12,2681,0.21
6,KAHANVI BOHRA,Independent,1658,53,1711,0.14
7,DR RAM ROOP MEENA ADVOCATE,Independent,1589,15,1604,0.13
8,NEHA SINGH GURJAR,Independent,1378,29,1407,0.11
9,PRAKASH KUMAR SHARMA,Independent,1033,7,1040,0.08
10,AJAY BHAT,Republican Party of India (A),931,17,948,0.08
11,DEVHANS,Independent,924,17,941,0.07
12,DR OM SINGH MEENA SEHARA,Independent,676,58,734,0.06
13,ADITYA PRAKASH SHARMA,Right to Recall Party,650,16,666,0.05
14,YOGI JEETENDRA NATH ADVOCATE,Rashtriya Sawarn Dal,556,6,562,0.04
15,ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress,541,4,545,0.04
16,NOTA,None of the Above,7405,114,7519,0.6
1,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61
2,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,549424,5659,555083,37.93
3,RAJESH TANWAR,Bahujan Samaj Party,3420,41,3461,0.24
4,HARI NARAYAN MEENA,Independent,2193,9,2202,0.15
5,RAJEEV ROLIWAL,Independent,962,8,970,0.07
6,YOGESH SHARMA,Independent,811,5,816,0.06
7,NARENDER SHARMA,Rashtriya Sanatan Party,665,4,669,0.05
8,KULDEEP SINGH,Socialist Unity Centre Of India (COMMUNIST),605,10,615,0.04
9,DR. ASEEM VERMA,Independent,562,10,572,0.04
10,PRADEEP VERMA,Indian Peoples Green Party,445,3,448,0.03
11,ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress,384,16,400,0.03
12,SHASHANK SINGH ARYA,Right to Recall Party,372,21,393,0.03
13,TRILOK TIWARI,Rashtriya Samta Vikas Party,344,7,351,0.02
14,NOTA,None of the Above,10280,148,10428,0.71
1,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42
2,LALIT YADAV,Indian National Congress,575964,7746,583710,46.57
3,FAZAL HUSSAIN,Bahujan Samaj Party,19178,109,19287,1.54
4,PARDEEP KUMAR,Sarv Samaj Party,4339,23,4362,0.35
5,VIVEK JAIN,Independent,2429,9,2438,0.19
6,RAMBABU SHARMA,Independent,2207,25,2232,0.18
7,AMIT GUPTA,Independent,1366,23,1389,0.11
8,CHHAGAN LAL,Independent,1291,36,1327,0.11
9,VISHVNATH KHINCHI,Hindustan Janta Party,862,17,879,0.07
10,NOTA,None of the Above,5727,95,5822,0.46
1,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18
2,RAMSWAROOP KOLI,Bharatiya Janata Party,519269,8638,527907,46.59
3,ANJILA JATAV,Bahujan Samaj Party,9298,210,9508,0.84
4,ANEETA,Independent,5027,92,5119,0.45
5,PURUSHOTTAM LAL,Independent,2730,17,2747,0.24
6,PUSHPENDAR KUMAR,Independent,2374,12,2386,0.21
7,NOTA,None of the Above,5344,99,5443,0.48
